rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,113,607,2892800,4758,-5661691.98027105,9.2030966e-08,0.2,-1.0825442318320275,2.13984e-05,0.0,114267776.0,1120,-7.13348132558167e-06,0.0,206221815.408
9000.0,114,610,2918400,4780,-5663065.81368141,1.1172844e-07,0.2,-1.078809875369072,2.1321600000000003e-05,0.0,97743720.0,1130,-8.753784466534853e-06,-1.1920928955078125e-07,202041152.064
9000.0,115,613,2944000,4802,-5641223.699793049,1.0335585e-07,0.2,-1.0733204818964004,2.12448e-05,0.0,132697808.0,1140,-8.914851292502135e-06,-1.1920928955078125e-07,261922750.336
9000.0,116,602,2969600,4928,-5628905.638456958,4.173955e-08,0.2,-1.0847002917528152,2.1168e-05,0.0,112518384.0,1150,-4.403106693644077e-06,1.1920928955078125e-07,223254433.088
9000.0,117,605,2995200,4949,-5617557.403264639,6.6529026e-08,0.2,-1.0751543433666229,2.10912e-05,0.0,109982608.0,1160,-5.440407869173214e-06,0.0,208025931.728
9000.0,118,607,3020800,4971,-5605019.65105563,1.13609715e-07,0.2,-1.0737541862130164,2.10144e-05,0.0,123950560.0,1170,-9.768459131009877e-06,1.1920928955078125e-07,198491806.896
9000.0,119,610,3046400,4993,-5584229.114899939,4.3450854e-08,0.2,-1.0916505413651467,2.09376e-05,0.0,111753352.0,1180,-3.9222600171342495e-06,0.0,228065132.704
9000.0,120,612,3072000,5015,-5583040.29714049,1.2017321e-07,0.2,-1.0856683837771415,2.08608e-05,0.0,90908016.0,1190,-9.919680305756628e-06,0.0,183014108.656
9000.0,121,602,3097600,5141,-5587836.975435091,1.0871096e-07,0.2,-1.081047629415989,2.0784000000000003e-05,0.0,114411408.0,1200,-9.481835702899843e-06,0.0,215286724.192
9000.0,122,604,3123200,5163,-5574523.606197139,5.855225e-08,0.2,-1.0838798999786377,2.07072e-05,0.0,117386656.0,1210,-5.553117487579584e-06,1.1920928955078125e-07,259055967.536
9000.0,123,607,3148800,5184,-5572064.037039161,5.0219242e-08,0.2,-1.0678972095251082,2.06304e-05,0.0,104879944.0,1220,-5.383386393077671e-06,0.0,226380926.512
9000.0,124,609,3174400,5206,-5546824.32106824,6.7735094e-08,0.2,-1.0611033707857132,2.05536e-05,0.0,103747600.0,1230,-6.058320112060755e-06,0.0,208956544.928
9000.0,125,612,3200000,5228,-5543421.400265209,1.0988908e-07,0.2,-1.0780253717899322,2.0476800000000004e-05,0.0,102961560.0,1240,-8.993996045319364e-06,1.7881393432617188e-07,187577637.584
9000.0,126,602,3225600,5354,-5536544.484503998,4.6843198e-08,0.2,-1.0793806165456772,2.0399999999999998e-05,0.0,105658440.0,1250,-4.393776762299239e-06,0.0,213149917.392
9000.0,127,604,3251200,5376,-5524564.549928149,7.4796844e-08,0.2,-1.0816145543456077,2.0323200000000002e-05,0.0,130564792.0,1260,-6.959665333852172e-06,0.0,239716250.416
9000.0,128,607,3276800,5397,-5500930.54904891,8.259202e-08,0.2,-1.0822158299088478,2.02464e-05,0.0,123928288.0,1270,-7.266897824592889e-06,1.7881393432617188e-07,206837574.336
9000.0,129,609,3302400,5419,-5494840.13594136,9.9171885e-08,0.2,-1.084461476802826,2.01696e-05,0.0,118977000.0,1280,-8.818136760964989e-06,1.1920928955078125e-07,214286401.696
9000.0,130,611,3328000,5441,-5486616.830149011,1.0106014e-07,0.2,-1.0772675314545632,2.0092800000000002e-05,0.0,92005648.0,1290,-9.20917757321149e-06,5.960464477539063e-08,196477217.536
9000.0,131,602,3353600,5566,-5480566.083701599,8.4377824e-08,0.2,-1.084182335615158,2.0016e-05,0.0,98370864.0,1300,-7.029769127257168e-06,0.0,192191132.944
9000.0,132,604,3379200,5588,-5482601.45892862,8.854084e-08,0.2,-1.0783173254728318,1.99392e-05,0.0,96317712.0,1310,-7.61281093582511e-06,0.0,205663043.872
9000.0,133,606,3404800,5610,-5467611.0177912405,6.0577875e-08,0.2,-1.086807518541813,1.98624e-05,0.0,143680496.0,1320,-6.3292158883996305e-06,5.960464477539063e-08,248342099.824
9000.0,134,609,3430400,5632,-5458222.658667981,7.29342e-08,0.2,-1.076563538968563,1.97856e-05,0.0,80944280.0,1330,-5.940244416706264e-06,0.0,182172946.72
9000.0,135,611,3456000,5653,-5452900.67907365,6.611692e-08,0.2,-1.0695461070537566,1.97088e-05,0.0,104618672.0,1340,-6.8492550344672055e-06,-1.1920928955078125e-07,204613660.016
