         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
378601/378589    0.126    0.000    0.151    0.000 {built-in method builtins.hasattr}
      201    0.001    0.000    0.150    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tqdm\std.py:1160(__iter__)
      200    0.002    0.000    0.148    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tqdm\std.py:1198(update)
     7685    0.022    0.000    0.147    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:455(__hash__)
     3787    0.011    0.000    0.146    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:518(_make_validated_mono_param)
      201    0.001    0.000    0.145    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tqdm\std.py:1325(refresh)
      202    0.001    0.000    0.142    0.001 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tqdm\std.py:1464(display)
     1208    0.014    0.000    0.141    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\concrete_function.py:1021(__init__)
     1231    0.007    0.000    0.138    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\autograph\impl\api.py:493(tf_convert)
    29828    0.020    0.000    0.136    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest.py:198(flatten)
    83974    0.128    0.000    0.136    0.000 {built-in method numpy.array}
    86602    0.067    0.000    0.136    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\compat.py:85(as_text)
